Source,Latitude,Longitude,Time Zone,Elevation
NASA/POWER,-90.0,0.0,14.0,2811.04
year,month,day,hour,ghi,dni,dhi,tdry,twet,Tdew,wspd,wdir,rh,pres,snow,albedo,aod
2003,1,1,0,332.852,123.219,285.656,-27.111,-27.767,-28.416,0.774,268.843,87.438,694.348,,0.773,0.0
2003,1,1,1,339.109,140.156,285.539,-26.931,-27.697,-28.455,0.663,278.13,85.5,694.379,,0.773,0.0
2003,1,1,2,346.57,148.641,289.766,-26.853,-27.705,-28.556,0.573,295.866,83.875,694.364,,0.773,0.0
2003,1,1,3,339.617,136.734,287.273,-26.775,-27.759,-28.752,0.65,308.66,81.5,694.267,,0.766,0.0
2003,1,1,4,351.359,143.945,296.078,-26.767,-27.986,-29.205,0.853,311.285,77.812,694.148,,0.773,0.0
2003,1,1,5,370.359,184.633,299.117,-26.908,-28.228,-29.556,1.003,310.263,76.062,694.074,,0.758,0.0
2003,1,1,6,383.156,217.922,298.594,-27.017,-28.33,-29.642,1.083,300.822,76.188,694.134,,0.758,0.0
2003,1,1,7,388.438,274.047,281.422,-27.181,-28.314,-29.447,1.077,288.172,79.062,694.282,,0.789,0.0
2003,1,1,8,404.477,340.023,270.828,-27.4,-28.377,-29.353,1.054,279.811,81.625,694.447,,0.766,0.0
2003,1,1,9,427.055,567.711,202.5,-27.611,-28.47,-29.33,1.026,274.365,83.688,694.581,,0.781,0.0
2003,1,1,10,443.469,541.836,227.945,-27.775,-28.564,-29.353,1.039,270.0,84.875,694.705,,0.789,0.0
2003,1,1,11,443.469,516.602,237.047,-27.83,-28.619,-29.4,1.086,270.0,84.938,694.817,,0.797,0.0
2003,1,1,12,436.281,437.453,260.938,-27.83,-28.658,-29.486,1.059,275.08,84.25,694.922,,0.781,0.0
2003,1,1,13,431.18,394.859,272.648,-27.759,-28.634,-29.509,0.982,285.695,83.375,695.058,,0.797,0.0
2003,1,1,14,392.586,411.375,227.445,-27.681,-28.658,-29.627,1.038,301.777,81.812,695.054,,0.789,0.0
2003,1,1,15,419.523,337.523,284.273,-27.627,-28.587,-29.556,1.164,310.101,81.938,694.99,,0.789,0.0
2003,1,1,16,404.203,214.781,318.422,-27.548,-28.462,-29.377,1.312,311.379,82.812,694.931,,0.789,0.0
2003,1,1,17,400.586,208.805,317.594,-27.439,-28.259,-29.072,1.345,306.737,84.438,695.022,,0.797,0.0
2003,1,1,18,392.945,197.914,314.734,-27.298,-28.142,-28.978,1.303,296.719,84.125,695.119,,0.797,0.0
2003,1,1,19,398.305,208.961,316.266,-27.189,-28.119,-29.048,1.215,285.287,82.625,695.219,,0.789,0.0
2003,1,1,20,396.93,202.812,317.844,-27.08,-27.947,-28.814,1.159,266.135,83.688,695.324,,0.797,0.0
2003,1,1,21,398.617,202.781,320.062,-26.931,-27.783,-28.627,1.141,246.595,84.0,695.406,,0.805,0.0
2003,1,1,22,399.688,206.711,320.094,-26.83,-27.65,-28.47,1.105,231.024,84.5,695.505,,0.797,0.0
2003,1,1,23,378.477,196.383,303.242,-26.673,-27.447,-28.212,1.055,233.13,85.375,695.445,,0.812,0.0
2003,1,2,0,379.586,176.82,312.086,-26.509,-27.095,-27.689,0.962,246.557,88.625,695.351,,0.812,0.0
2003,1,2,1,372.867,238.383,282.047,-26.384,-26.986,-27.58,0.845,256.092,88.438,695.319,,0.781,0.0
2003,1,2,2,370.359,241.281,278.445,-26.205,-26.837,-27.47,0.823,265.643,87.875,695.301,,0.781,0.0
2003,1,2,3,370.82,257.688,272.508,-26.009,-26.634,-27.259,0.891,271.507,88.0,695.223,,0.781,0.0
2003,1,2,4,357.562,293.133,245.359,-25.791,-26.353,-26.916,0.962,272.793,89.062,695.15,,0.781,0.0
2003,1,2,5,406.328,508.367,210.836,-25.564,-26.283,-27.002,0.807,266.112,86.5,695.198,,0.781,0.0
2003,1,2,6,416.484,479.898,230.883,-25.369,-26.189,-27.009,0.512,248.523,84.812,695.382,,0.781,0.0
2003,1,2,7,392.492,409.859,232.969,-25.158,-25.939,-26.712,0.322,219.094,85.562,695.537,,0.773,0.0
2003,1,2,8,403.562,371.078,258.188,-24.947,-25.712,-26.47,0.219,180.0,85.812,695.651,,0.812,0.0
2003,1,2,9,415.195,518.469,210.789,-24.783,-25.525,-26.267,0.177,135.0,86.062,695.825,,0.773,0.0
2003,1,2,10,441.203,691.797,166.938,-24.705,-25.267,-25.822,0.141,83.66,89.375,695.987,,0.789,0.0
2003,1,2,11,442.484,616.367,197.008,-24.611,-25.103,-25.595,0.267,74.745,90.438,696.04,,0.805,0.0
2003,1,2,12,471.477,898.711,112.406,-24.416,-25.08,-25.744,0.556,65.956,87.438,695.989,,0.789,0.0
2003,1,2,13,481.492,959.742,97.43,-24.189,-25.017,-25.845,0.724,55.109,84.625,695.981,,0.781,0.0
2003,1,2,14,481.945,973.875,92.266,-23.923,-24.861,-25.806,0.845,46.123,82.75,695.964,,0.789,0.0
2003,1,2,15,482.695,989.812,87.344,-23.627,-24.642,-25.658,0.92,40.179,81.625,695.902,,0.781,0.0
2003,1,2,16,479.492,952.008,100.523,-23.314,-24.384,-25.455,0.942,37.25,80.75,695.831,,0.781,0.0
2003,1,2,17,479.156,992.297,86.023,-23.252,-24.22,-25.189,0.969,35.484,82.5,695.795,,0.781,0.0
2003,1,2,18,474.453,957.852,97.188,-23.392,-24.181,-24.978,0.967,32.791,85.438,695.812,,0.781,0.0
2003,1,2,19,471.766,962.57,95.117,-23.572,-24.369,-25.158,1.129,38.536,85.438,695.814,,0.781,0.0
2003,1,2,20,468.711,965.523,93.492,-23.877,-24.572,-25.259,1.359,44.534,87.188,695.862,,0.781,0.0
2003,1,2,21,462.25,956.945,92.844,-24.252,-24.798,-25.337,1.525,45.415,89.875,695.902,,0.781,0.0
2003,1,2,22,463.039,1007.977,76.281,-24.658,-25.127,-25.587,1.713,45.37,91.25,695.96,,0.773,0.0
2003,1,2,23,460.344,982.477,85.266,-25.111,-25.509,-25.908,1.896,46.837,92.438,695.94,,0.773,0.0
2003,1,3,0,457.625,982.516,83.891,-25.564,-25.884,-26.212,2.074,49.89,93.688,695.856,,0.773,0.0
2003,1,3,1,456.078,982.883,82.953,-25.962,-26.228,-26.502,2.3,53.286,94.688,695.793,,0.773,0.0
2003,1,3,2,454.789,960.219,90.344,-26.267,-26.509,-26.759,2.629,55.413,95.062,695.693,,0.781,0.0
2003,1,3,3,455.883,962.023,90.172,-26.47,-26.72,-26.962,2.995,55.522,94.938,695.558,,0.781,0.0
2003,1,3,4,452.891,936.758,95.641,-26.572,-26.806,-27.048,3.185,56.505,95.062,695.38,,0.789,0.0
2003,1,3,5,460.961,986.32,83.055,-26.478,-26.759,-27.033,3.255,56.157,94.375,695.334,,0.781,0.0
2003,1,3,6,469.734,1036.25,70.43,-26.353,-26.666,-26.978,3.284,54.684,93.688,695.276,,0.773,0.0
2003,1,3,7,471.422,1018.0,76.648,-26.306,-26.642,-26.986,3.299,52.506,93.188,695.213,,0.781,0.0
2003,1,3,8,480.062,1066.102,63.914,-26.353,-26.697,-27.041,3.274,51.297,93.188,695.156,,0.773,0.0
2003,1,3,9,483.367,1060.984,66.594,-26.494,-26.83,-27.166,3.27,50.72,93.312,695.148,,0.773,0.0
2003,1,3,10,484.891,1041.812,73.336,-26.658,-26.994,-27.337,3.344,50.023,93.188,695.122,,0.773,0.0
2003,1,3,11,488.219,1058.461,68.18,-26.822,-27.173,-27.533,3.448,49.779,92.875,695.108,,0.773,0.0
2003,1,3,12,491.656,1078.109,62.453,-26.986,-27.361,-27.728,3.567,50.243,92.562,695.092,,0.773,0.0
2003,1,3,13,493.75,1095.289,57.016,-27.142,-27.541,-27.931,3.713,50.549,92.062,695.056,,0.766,0.0
2003,1,3,14,495.234,1112.836,51.539,-27.259,-27.689,-28.119,3.831,50.793,91.375,694.981,,0.766,0.0
2003,1,3,15,494.477,1111.516,52.102,-27.322,-27.798,-28.275,3.887,50.873,90.562,694.868,,0.758,0.0
2003,1,3,16,493.18,1114.594,51.078,-27.392,-27.892,-28.392,3.901,51.179,90.125,694.715,,0.758,0.0
2003,1,3,17,490.516,1107.398,53.367,-27.462,-27.978,-28.494,3.913,51.322,89.875,694.545,,0.766,0.0
2003,1,3,18,488.133,1112.398,51.594,-27.541,-28.056,-28.572,3.884,51.124,89.875,694.429,,0.758,0.0
2003,1,3,19,485.469,1116.805,50.078,-27.627,-28.134,-28.634,3.826,50.883,90.0,694.409,,0.758,0.0
2003,1,3,20,482.32,1116.984,49.859,-27.712,-28.205,-28.705,3.785,50.528,90.188,694.456,,0.758,0.0
2003,1,3,21,479.258,1117.195,49.617,-27.791,-28.275,-28.759,3.753,49.813,90.375,694.495,,0.75,0.0
2003,1,3,22,475.758,1114.344,49.82,-27.853,-28.322,-28.798,3.761,49.128,90.562,694.531,,0.758,0.0
2003,1,3,23,472.789,1112.008,49.891,-28.048,-28.439,-28.83,3.918,48.395,92.062,694.532,,0.758,0.0
2003,1,4,0,470.766,1110.438,50.016,-28.377,-28.642,-28.908,4.028,48.302,94.5,694.565,,0.758,0.0
2003,1,4,1,469.82,1111.453,49.539,-28.65,-28.845,-29.041,4.04,48.449,95.812,694.612,,0.758,0.0
