Source,Latitude,Longitude,Time Zone,Elevation
NASA/POWER,-90.0,0.0,14.0,2811.04
year,month,day,hour,ghi,dni,dhi,tdry,twet,Tdew,wspd,wdir,rh,pres,snow,albedo,aod
2017,1,1,0,404.055,418.539,244.078,-22.783,-23.15,-23.517,4.249,10.917,92.938,692.415,,0.781,0.008
2017,1,1,1,399.789,384.781,253.0,-22.681,-23.072,-23.47,4.313,13.835,92.312,692.53,,0.789,0.0
2017,1,1,2,402.773,465.633,225.18,-22.525,-22.923,-23.33,4.385,15.076,92.312,692.594,,0.781,0.0
2017,1,1,3,383.891,311.219,265.0,-22.361,-22.752,-23.142,4.402,15.121,92.5,692.63,,0.797,0.0
2017,1,1,4,421.109,577.516,199.766,-22.205,-22.595,-22.994,4.402,13.864,92.375,692.615,,0.766,0.0
2017,1,1,5,432.078,616.336,194.766,-22.064,-22.462,-22.861,4.527,9.235,92.312,692.576,,0.766,0.0
2017,1,1,6,412.008,446.703,239.016,-21.962,-22.361,-22.752,4.686,2.963,92.375,692.621,,0.789,0.0
2017,1,1,7,452.789,746.062,162.039,-21.877,-22.267,-22.65,4.744,358.396,92.562,692.761,,0.766,0.0
2017,1,1,8,459.234,785.289,151.18,-21.791,-22.173,-22.548,4.755,354.627,92.75,692.914,,0.773,0.0
2017,1,1,9,458.586,743.023,165.281,-21.689,-22.064,-22.439,4.735,351.843,92.812,693.052,,0.781,0.0
2017,1,1,10,457.5,700.898,179.266,-21.587,-21.962,-22.337,4.794,349.862,92.812,693.183,,0.789,0.0
2017,1,1,11,479.852,946.836,102.281,-21.572,-21.923,-22.283,4.615,351.335,93.188,693.374,,0.758,0.0
2017,1,1,12,452.141,638.078,196.883,-21.587,-21.931,-22.283,4.322,356.269,93.312,693.575,,0.789,0.0
2017,1,1,13,477.461,891.0,120.461,-21.634,-21.986,-22.337,4.142,1.405,93.25,693.639,,0.773,0.0
