Source,Latitude,Longitude,Time Zone,Elevation
NASA/POWER,-90.0,0.0,14.0,2811.04
year,month,day,hour,ghi,dni,dhi,tdry,twet,Tdew,wspd,wdir,rh,pres,snow,albedo,aod
2014,1,1,0,454.32,770.289,159.633,-27.634,-27.947,-28.259,3.918,15.616,93.688,694.746,,0.75,0.0
2014,1,1,1,447.953,696.008,182.203,-27.627,-27.962,-28.298,3.93,14.036,93.188,694.818,,0.758,0.0
2014,1,1,2,440.219,592.703,213.945,-27.587,-27.947,-28.306,4.071,11.849,92.75,694.909,,0.766,0.0
2014,1,1,3,434.938,579.656,213.289,-27.462,-27.83,-28.205,4.289,8.484,92.562,694.942,,0.75,0.0
2014,1,1,4,430.602,435.492,263.539,-27.236,-27.603,-27.978,4.366,6.782,92.625,694.927,,0.766,0.0
2014,1,1,5,408.453,309.398,289.203,-26.978,-27.314,-27.65,4.47,5.013,93.312,695.058,,0.758,0.0
2014,1,1,6,395.672,245.773,300.414,-26.869,-27.127,-27.384,4.45,5.54,94.875,695.319,,0.75,0.0
2014,1,1,7,428.633,342.164,295.164,-26.837,-27.048,-27.259,4.454,7.661,95.625,695.536,,0.75,0.0
2014,1,1,8,389.078,199.688,310.672,-26.853,-27.056,-27.259,4.512,9.87,95.812,695.706,,0.758,0.0
2014,1,1,9,404.977,320.672,278.281,-26.923,-27.134,-27.337,4.597,12.265,95.75,695.893,,0.766,0.0
2014,1,1,10,432.117,311.25,308.445,-27.009,-27.228,-27.455,4.684,14.291,95.438,696.129,,0.766,0.0
2014,1,1,11,409.766,329.648,278.195,-26.923,-27.212,-27.494,4.534,17.967,94.25,696.241,,0.766,0.0
2014,1,1,12,433.359,272.5,324.25,-26.705,-27.056,-27.408,4.302,22.98,92.938,696.257,,0.758,0.0
2014,1,1,13,389.102,154.672,327.07,-26.486,-26.9,-27.306,4.161,27.142,91.938,696.224,,0.758,0.0
2014,1,1,14,387.328,207.617,304.078,-26.267,-26.728,-27.197,4.093,29.501,90.812,696.134,,0.75,0.0
2014,1,1,15,449.453,428.898,277.773,-26.064,-26.572,-27.087,3.954,30.517,90.0,696.017,,0.758,0.0
2014,1,1,16,438.219,416.336,272.133,-25.884,-26.423,-26.962,3.765,29.597,89.5,695.887,,0.734,0.0
2014,1,1,17,452.109,489.523,257.75,-25.869,-26.369,-26.869,3.973,25.759,90.188,695.802,,0.75,0.0
